N,Triton,Torch (native),Torch (compiled)
256.000000,682.666643,631.672308,60.653403
384.000000,689.852662,722.823517,83.591837
512.000000,744.727267,712.347810,110.702698
640.000000,640.000002,682.666684,161.259834
768.000000,722.823517,752.566478,196.607991
896.000000,669.710971,735.179513,222.263578
1024.000000,762.046512,780.190482,224.342310
1152.000000,784.340403,767.999973,290.267701
1280.000000,772.830192,736.359530,170.666671
1408.000000,763.660994,750.933352,306.503404
1536.000000,780.190482,768.000002,336.657521
1664.000000,794.746259,783.058810,406.473303
1792.000000,785.534216,774.918885,453.760626
1920.000000,797.922109,797.922109,483.779502
2048.000000,799.219525,789.590371,465.361592
2176.000000,791.272721,791.272721,539.782976
2304.000000,801.391287,792.774173,568.642092
2432.000000,810.666638,796.026192,548.056321
2560.000000,803.137269,795.098584,640.000002
2688.000000,811.471702,803.887852,651.636359
2816.000000,811.819811,804.571418,608.864838
2944.000000,811.482100,805.196559,724.676921
3072.000000,812.220001,812.429770,664.216187
3200.000000,812.698419,808.288083,781.679429
3328.000000,817.039586,812.946606,806.787872
3456.000000,819.200032,807.240903,807.240903
3584.000000,813.390089,813.390089,813.390089
3712.000000,813.937444,813.589009,809.086434
3840.000000,814.702152,808.753638,813.774833
3968.000000,818.292623,808.764320,808.281701
4096.000000,821.768028,818.081504,819.200021
4224.000000,809.389194,805.770507,809.389194
4352.000000,815.452525,809.674419,806.596934
4480.000000,811.519518,807.590872,809.800521
4608.000000,814.674052,814.674052,815.096206
4736.000000,819.200013,810.438512,810.438512
4864.000000,819.199974,814.111799,812.120672
4992.000000,819.199998,819.199998,817.627625
5120.000000,823.316575,819.456103,819.200021
5248.000000,819.199984,819.199984,819.199984
5376.000000,823.058078,821.768051,823.119596
5504.000000,823.028039,821.947811,823.028039
5632.000000,815.954748,815.493232,815.493232
5760.000000,810.643212,808.421037,808.421037
5888.000000,812.137911,812.959211,815.653686
6016.000000,815.728789,815.674797,815.728789
6144.000000,819.200021,826.084057,826.084057
6272.000000,825.783096,822.557393,822.557393
6400.000000,822.489946,825.442429,822.851380
6528.000000,822.425154,825.675871,825.675871
6656.000000,822.362956,822.362956,825.550434
6784.000000,822.303024,824.352233,825.429675
6912.000000,819.200032,822.245319,819.200032
7040.000000,822.189808,825.201428,825.201428
7168.000000,823.566003,831.072445,831.072445
7296.000000,816.335679,816.335679,819.200036
7424.000000,816.384869,822.034634,822.034634
7552.000000,819.199985,827.616406,827.616406
7680.000000,819.328012,824.438601,823.963566
7808.000000,821.894773,827.166601,827.337747
7936.000000,823.141466,824.519513,824.519513
8064.000000,823.735442,827.076952,827.076952
8192.000000,824.352186,834.853491,832.203143
8320.000000,819.199998,829.085246,829.004590
8448.000000,816.725104,837.601826,839.349157
8576.000000,821.652667,826.602420,828.161470
8704.000000,817.396908,828.952388,830.729427
8832.000000,819.199982,823.976695,823.901613
8960.000000,817.521161,828.670553,831.072445
9088.000000,816.898867,835.453105,834.030490
9216.000000,816.930718,830.738036,830.591770
9344.000000,816.961764,828.276978,828.276978
9472.000000,819.200013,832.703281,832.703281
9600.000000,819.199993,830.410524,832.097505
9728.000000,816.246490,830.122659,827.914870
9856.000000,814.966393,825.161000,825.633511
9984.000000,819.199998,829.838978,829.838978
10112.000000,817.131337,831.835490,829.702562
10240.000000,817.157112,834.255708,833.791360
10368.000000,814.892909,829.245650,829.440021
10496.000000,815.223313,839.680021,837.912551
10624.000000,815.270977,825.478109,825.885453
10752.000000,817.254148,830.821591,830.821591
10880.000000,812.271792,832.918639,831.302786
11008.000000,817.595680,836.712581,836.712581
11136.000000,817.291801,832.598132,834.548025
11264.000000,815.493232,832.443402,832.743918
11392.000000,817.707015,832.173485,832.292260
11520.000000,817.383592,834.204095,832.731903
11648.000000,815.614902,828.302236,828.359722
11776.000000,816.205752,826.385949,828.202196
11904.000000,813.948695,829.965012,831.720533
12032.000000,816.215162,830.688228,829.011438
12160.000000,817.479015,835.133472,836.817222
12288.000000,817.496889,831.323480,831.323480
12416.000000,815.835709,831.196650,831.196650
12544.000000,815.869884,834.528074,834.528074
12672.000000,817.548398,829.251537,828.880704
